sample	cruise_series	cruise_id	collection_date	depth
SRR5720327	BATS	BATS175	2003-04-22	Biller 10m
SRR5720326	BATS	BATS175	2003-04-22	Biller 80m
SRR5720333	BATS	BATS175	2003-04-22	Biller 180m
SRR5720332	BATS	BATS181	2003-10-07	Biller 1m
SRR5720340	BATS	BATS181	2003-10-07	Biller 80m
SRR5720341	BATS	BATS181	2003-10-07	Biller 180m
SRR5720338	BATS	BATS184	2004-01-27	Biller 1m
SRR5720339	BATS	BATS184	2004-01-27	Biller 40m
SRR5720336	BATS	BATS184	2004-01-27	Biller 180m
SRR5720337	BATS	BATS186	2004-03-23	Biller 1m
SRR5720334	BATS	BATS186	2004-03-23	Biller 60m
SRR5720335	BATS	BATS186	2004-03-23	Biller 180m
SRR5720342	BATS	BATS195	2004-12-08	Biller 1m
SRR5720343	BATS	BATS195	2004-12-08	Biller 100m
SRR5720234	BATS	BATS195	2004-12-08	Biller 180m
SRR5720233	BATS	BATS173	2003-02-21	Biller 1m
SRR5720232	BATS	BATS173	2003-02-21	Biller 40m
SRR5720231	BATS	BATS173	2003-02-21	Biller 180m
SRR5720238	BATS	BATS174	2003-03-22	Biller 1m
SRR5720237	BATS	BATS174	2003-03-22	Biller 80m
SRR5720236	BATS	BATS174	2003-03-22	Biller 180m
SRR5720235	BATS	BATS178	2003-07-15	Biller 10m
SRR5720230	BATS	BATS178	2003-07-15	Biller 120m
SRR5720229	BATS	BATS178	2003-07-15	Biller 180m
SRR5720286	BATS	BATS179	2003-08-12	Biller 10m
SRR5720285	BATS	BATS179	2003-08-12	Biller 100m
SRR5720255	BATS	BATS179	2003-08-12	Biller 160m
SRR5720256	BATS	BATS187	2004-04-21	Biller 1m
SRR5720249	BATS	BATS187	2004-04-21	Biller 40m
SRR5720250	BATS	BATS187	2004-04-21	Biller 180m
SRR5720251	BATS	BATS192	2004-09-14	Biller 1m
SRR5720252	BATS	BATS192	2004-09-14	Biller 100m
SRR5720344	BATS	BATS192	2004-09-14	Biller 180m
SRR5720307	BATS	BATS193	2004-10-13	Biller 1m
SRR5720280	BATS	BATS193	2004-10-13	Biller 100m
SRR5720279	BATS	BATS193	2004-10-13	Biller 180m
SRR5720278	BATS	BATS194	2004-11-12	Biller 1m
SRR5720277	BATS	BATS194	2004-11-12	Biller 80m
SRR5720284	BATS	BATS194	2004-11-12	Biller 180m
SRR5720283	BATS	BATS176	2003-05-20	Biller 1m
SRR5720282	BATS	BATS176	2003-05-20	Biller 100m
SRR5720281	BATS	BATS176	2003-05-20	Biller 180m
SRR5720276	BATS	BATS182	2003-11-04	Biller 1m
SRR5720275	BATS	BATS182	2003-11-04	Biller 80m
SRR5720261	BATS	BATS182	2003-11-04	Biller 180m
SRR5720262	BATS	BATS183	2003-12-02	Biller 1m
SRR5720263	BATS	BATS183	2003-12-02	Biller 100m
SRR5720264	BATS	BATS183	2003-12-02	Biller 180m
SRR5720257	BATS	BATS188	2004-05-18	Biller 10m
SRR5720258	BATS	BATS188	2004-05-18	Biller 80m
SRR5720259	BATS	BATS188	2004-05-18	Biller 180m
SRR5720260	BATS	BATS189	2004-06-15	Biller 10m
SRR5720253	BATS	BATS189	2004-06-15	Biller 100m
SRR5720254	BATS	BATS189	2004-06-15	Biller 180m
SRR5720321	BATS	BATS191	2004-08-17	Biller 1m
SRR5720320	BATS	BATS191	2004-08-17	Biller 120m
SRR5720323	BATS	BATS191	2004-08-17	Biller 180m
SRR5720322	BATS	BATS185	2004-02-24	Biller 1m
SRR5720319	BATS	BATS185	2004-02-24	Biller 40m
SRR5720318	BATS	BATS185	2004-02-24	Biller 180m
SRR6507279	BATS	BATS248	2009-07-14	Biller 10m
SRR6507280	BATS	BATS252	2009-11-07	Biller 100m
1_AE1712				AE1712 80m
2_AE1712				AE1712 200m
3_AE1712				AE1712 80m
4_AE1712				AE1712 200m
5_AE1712				AE1712 80m
6_AE1712				AE1712 200m
7_AE1712				AE1712 80m
8_AE1712				AE1712 200m
9_AE1712				AE1712 80m
10_AE1712				AE1712 200m
11_AE1712				AE1712 80m
12_AE1712				AE1712 200m
