contig,type_use,total_rm2v,sorted_mapped_f1,long,type,rank
10_AE1712_C14_N14_19_200m_c_NODE_153_length_23702_cov_16.526265,short,2289.005696,,,abundant_in_s_only,1467
10_AE1712_C14_N14_19_200m_c_NODE_171_length_22661_cov_7.222237,short,1586.506518,,,abundant_in_s_only,1585
10_AE1712_C14_N14_19_200m_c_NODE_211_length_20540_cov_11.841470,short,1699.433596,,,abundant_in_s_only,1568
10_AE1712_C14_N14_19_200m_c_NODE_248_length_19120_cov_9.589455,short,2678.586643,,,abundant_in_s_only,1396
10_AE1712_C14_N14_19_200m_c_NODE_331_length_16242_cov_9.636127,short,6766.701156,,,abundant_in_s_only,792
10_AE1712_C14_N14_19_200m_c_NODE_408_length_14633_cov_8.256183,short,2567.473815,,,abundant_in_s_only,1414
10_AE1712_C14_N14_19_200m_c_NODE_454_length_13696_cov_6.200308,short,1832.641762,,,abundant_in_s_only,1550
10_AE1712_C14_N14_19_200m_c_NODE_549_length_12573_cov_6.650368,short,3584.390897,,,abundant_in_s_only,1242
10_AE1712_C14_N14_19_200m_c_NODE_589_length_12055_cov_7.205460,short,1853.750274,,,abundant_in_s_only,1544
10_AE1712_C14_N14_19_200m_c_NODE_634_length_11734_cov_4.609762,short,1079.5644,,,abundant_in_s_only,1666
10_AE1712_C14_N14_19_200m_c_NODE_675_length_11417_cov_7.423633,short,2179.525977,,,abundant_in_s_only,1479
10_AE1712_C14_N14_19_200m_c_NODE_705_length_11084_cov_7.051967,short,1951.140589,,,abundant_in_s_only,1524
10_AE1712_C14_N14_19_200m_c_NODE_751_length_10707_cov_6.530762,short,1275.533624,,,abundant_in_s_only,1636
10_AE1712_C14_N14_19_200m_c_NODE_821_length_10114_cov_10.913420,short,3833.273385,,,abundant_in_s_only,1193
11_AE1712_C16_N1_7_80m_c_NODE_2_length_48652_cov_320.387277,short,3581933.456,,,abundant_in_s_only,1
12_AE1712_C16_N8_14_200m_c_NODE_140_length_42613_cov_10.241913,short,7823.690102,,,abundant_in_s_only,700
12_AE1712_C16_N8_14_200m_c_NODE_186_length_37288_cov_11.288033,short,2264.5869,,,abundant_in_s_only,1469
12_AE1712_C16_N8_14_200m_c_NODE_209_length_35600_cov_15.709484,short,3734.47098,,,abundant_in_s_only,1216
12_AE1712_C16_N8_14_200m_c_NODE_389_length_26652_cov_9.157705,short,2072.155687,,,abundant_in_s_only,1502
12_AE1712_C16_N8_14_200m_c_NODE_416_length_25596_cov_13.438693,short,2222.836466,,,abundant_in_s_only,1473
12_AE1712_C16_N8_14_200m_c_NODE_490_length_22806_cov_8.829601,short,1882.16075,,,abundant_in_s_only,1538
12_AE1712_C16_N8_14_200m_c_NODE_721_length_18012_cov_10.805353,short,1470.339107,,,abundant_in_s_only,1602
12_AE1712_C16_N8_14_200m_c_NODE_800_length_17091_cov_11.815093,short,5180.234051,,,abundant_in_s_only,983
12_AE1712_C16_N8_14_200m_c_NODE_897_length_16078_cov_12.878820,short,2214.694246,,,abundant_in_s_only,1474
12_AE1712_C16_N8_14_200m_c_NODE_1066_length_14408_cov_11.841602,short,3001.294929,,,abundant_in_s_only,1354
12_AE1712_C16_N8_14_200m_c_NODE_1093_length_14263_cov_10.344777,short,6364.918946,,,abundant_in_s_only,830
12_AE1712_C16_N8_14_200m_c_NODE_1207_length_13437_cov_8.138249,short,6134.442144,,,abundant_in_s_only,862
12_AE1712_C16_N8_14_200m_c_NODE_1367_length_12551_cov_8.787077,short,4815.757984,,,abundant_in_s_only,1026
12_AE1712_C16_N8_14_200m_c_NODE_1380_length_12499_cov_7.644904,short,2451.618739,,,abundant_in_s_only,1435
12_AE1712_C16_N8_14_200m_c_NODE_1481_length_11949_cov_7.269794,short,1916.102135,,,abundant_in_s_only,1533
12_AE1712_C16_N8_14_200m_c_NODE_1587_length_11478_cov_10.894746,short,3834.31678,,,abundant_in_s_only,1192
12_AE1712_C16_N8_14_200m_c_NODE_1597_length_11452_cov_7.843604,short,4546.575983,,,abundant_in_s_only,1068
12_AE1712_C16_N8_14_200m_c_NODE_1640_length_11271_cov_11.636412,short,2715.039231,,,abundant_in_s_only,1390
12_AE1712_C16_N8_14_200m_c_NODE_1689_length_11012_cov_11.297851,short,1516.60414,,,abundant_in_s_only,1596
12_AE1712_C16_N8_14_200m_c_NODE_1692_length_11009_cov_8.087907,short,3267.787618,,,abundant_in_s_only,1304
12_AE1712_C16_N8_14_200m_c_NODE_1883_length_10366_cov_7.723880,short,943.5691394,,,abundant_in_s_only,1704
12_AE1712_C16_N8_14_200m_c_NODE_1901_length_10301_cov_7.388498,short,4913.166577,,,abundant_in_s_only,1013
1_AE1712_C3_N1_7_80m_c_NODE_1_length_68096_cov_84.296961,short,105389.8895,5473.985672,l_abundant,abundant_in_sl,24
2_AE1712_C3_N8_14_200m_c_NODE_92_length_45344_cov_30.493185,short,12053.88793,,,abundant_in_s_only,455
2_AE1712_C3_N8_14_200m_c_NODE_758_length_16221_cov_7.566836,short,2084.043926,,,abundant_in_s_only,1499
2_AE1712_C3_N8_14_200m_c_NODE_1071_length_13409_cov_8.661191,short,2080.11515,,,abundant_in_s_only,1500
2_AE1712_C3_N8_14_200m_c_NODE_1454_length_11155_cov_7.723957,short,4735.814456,,,abundant_in_s_only,1045
2_AE1712_C3_N8_14_200m_c_NODE_1548_length_10773_cov_7.837416,short,1558.196536,,,abundant_in_s_only,1588
2_AE1712_C3_N8_14_200m_c_NODE_1570_length_10710_cov_4.732719,short,2488.780155,,,abundant_in_s_only,1427
