sample	temperature	nitrate_nitrite	phosphate	ecological_zone
100_DCM	22.596675	5.6545	0.78	TT_EPI
100_dDCM	12.806365	23.251	2.68	TT_MES
100_SRF	25.349495	6.1625	0.68	TT_EPI
100_SRF	25.349495	6.1625	0.68	TT_EPI
100_SRF	25.349495	6.1625	0.68	TT_EPI
102_DCM	19.781235	24.3645	1.86	TT_EPI
102_MES	9.137438	39.1775	2.85	Outlier
102_SRF	24.958885	12.8225	1	TT_EPI
102_SRF	24.958885	12.8225	1	TT_EPI
102_SRF	24.958885	12.8225	1	TT_EPI
109_DCM	26.019185	4.638	0.5	TT_EPI
109_DCM	26.019185	4.638	0.5	TT_EPI
109_DCM	26.019185	4.638	0.5	TT_EPI
109_DCM	26.019185	4.638	0.5	TT_EPI
109_DCM	26.019185	4.638	0.5	TT_EPI
109_SRF	27.497475	0.8935	0.27	TT_EPI
11_SRF	NaN	NaN	NaN	TT_EPI
111_DCM	19.783275	1.2215	0.44	TT_EPI
111_MES	10.69894	NaN	2.73	TT_MES
111_MES	10.69894	NaN	2.73	TT_MES
111_MES	10.69894	NaN	2.73	TT_MES
111_SRF	22.78183	2.676	0.5	TT_EPI
122_DCM	24.661385	2.67775	0.59	TT_EPI
122_MES	7.133995	NaN	2.43	TT_MES
122_MES	7.133995	NaN	2.43	TT_MES
122_SRF	26.60467	5.456	0.57	TT_EPI
123_MIX	21.97372	5.44175	NaN	TT_EPI
123_MIX	21.97372	5.44175	NaN	TT_EPI
123_SRF	26.586685	4.9015	0.53	TT_EPI
123_SRF	26.586685	4.9015	0.53	TT_EPI
124_MIX	24.81397	1.19925	NaN	TT_EPI
124_SRF	26.572419	6.2015	0.63	TT_EPI
125_MIX	23.681605	3.47525	NaN	TT_EPI
125_SRF	26.80604	3.7335	0.56	TT_EPI
137_DCM	20.58574	6.0475	0.88	TT_EPI
137_MES	8.887131	34.551	2.95	TT_MES
137_MES	8.887131	34.551	2.95	TT_MES
137_MES	8.887131	34.551	2.95	TT_MES
137_SRF	26.478605	2.444	0.46	TT_EPI
138_DCM	17.291965	12.904	1.11	TT_EPI
138_MES	8.149894	36.219	3.16	TT_MES
138_MES	8.149894	36.219	3.16	TT_MES
138_SRF	26.605515	0.002	0.16	TT_EPI
155_DCM	10.79018	10.158	0.566253	ARC
155_DCM	10.79018	10.158	0.566253	ARC
155_MES	8.923581	NaN	NaN	ARC
155_MES	8.923581	NaN	NaN	ARC
155_SRF	11.09547	8.035625	0.401861	Outlier
155_SRF	11.09547	8.035625	0.401861	Outlier
158_DCM	6.73489	11.784	0.709183	ARC
158_DCM	6.73489	11.784	0.709183	ARC
158_MES	0.22498	NaN	NaN	ARC
158_MES	0.22498	NaN	NaN	ARC
158_SRF	8.47447	5.1155	0.356899	ARC
158_SRF	8.47447	5.1155	0.356899	ARC
163_MES	0.099535	NaN	NaN	ARC
163_MES	0.099535	NaN	NaN	ARC
163_SRF	1.899612	2.7725	0.290483	ARC
163_SRF	1.899612	2.7725	0.290483	ARC
