Sample label,Station,Site,Zone,Shape
Station100_DCM_R1,TARA_100,Station100_DCM_R1,TT-EPI,GOV2
Station100_dDCM_R1,TARA_100,Station100_MES_R1,TT-MES,GOV2
Station100_SRF_R1,TARA_100,Station100_SUR_R1,TT-EPI,GOV2
Station102_DCM_R1,TARA_102,Station102_DCM_R1,TT-EPI,GOV2
Station102_MES_R1,TARA_102,Station102_MES_R1,TT-MES,GOV2
Station102_SRF_R1,TARA_102,Station102_SUR_R1,TT-EPI,GOV2
Station109_DCM_R1,TARA_109,Station109_DCM_R1,TT-EPI,GOV2
Station109_SRF_R1,TARA_109,Station109_SUR_R1,TT-EPI,GOV2
Station11_SRF_R1,TARA_011,Station11_SUR_R1,TT-EPI,GOV2
Station111_DCM_R1,TARA_111,Station111_DCM_R1,TT-EPI,GOV2
Station111_MES_R1_COMBINED,TARA_111,Station111_MES_R1_COMBINED,TT-MES,GOV2
Station111_SRF_R1,TARA_111,Station111_SUR_R1,TT-EPI,GOV2
Station122_DCM_R1,TARA_122,Station122_DCM_R1,TT-EPI,GOV2
Station122_MES_R1_COMBINED,TARA_122,Station122_MES_R1_COMBINED,TT-MES,GOV2
Station122_SRF_R1,TARA_122,Station122_SUR_R1,TT-EPI,GOV2
Station123_MIX_R1,TARA_123,Station123_MXL_R1,TT-EPI,GOV2
Station123_SRF_R1,TARA_123,Station123_SUR_R1,TT-EPI,GOV2
Station124_MIX_R1,TARA_124,Station124_MXL_R1,TT-EPI,GOV2
Station124_SRF_R1,TARA_124,Station124_SUR_R1,TT-EPI,GOV2
Station125_MIX_R1,TARA_125,Station125_MXL_R1,TT-EPI,GOV2
Station125_SRF_R1,TARA_125,Station125_SUR_R1,TT-EPI,GOV2
Station137_DCM_R1,TARA_137,Station137_DCM_R1,TT-EPI,GOV2
Station137_MES_R1_COMBINED,TARA_137,Station137_MES_R1_COMBINED,TT-MES,GOV2
Station137_SRF_R1,TARA_137,Station137_SUR_R1,TT-EPI,GOV2
Station138_DCM_R1,TARA_138,Station138_DCM_R1,TT-EPI,GOV2
Station138_MES_R1_COMBINED,TARA_138,Station138_MES_R1_COMBINED,TT-MES,GOV2
Station138_SRF_R1,TARA_138,Station138_SUR_R1,TT-EPI,GOV2
Station155_DCM_R1,TARA_155,Station155_DCM_R1,ARC,GOV2
Station155_MES_R1,TARA_155,Station155_MES_R1,ARC,GOV2
Station155_SRF_R1,TARA_155,Station155_SUR_R1,ARC,GOV2
Station158_DCM_R1,TARA_158,Station158_DCM_R1,ARC,GOV2
Station158_MES_R1,TARA_158,Station158_MES_R1,ARC,GOV2
Station158_SRF_R1,TARA_158,Station158_SUR_R1,ARC,GOV2
Station163_MES_R1,TARA_163,Station163_MES_R1,ARC,GOV2
Station163_SRF_R1,TARA_163,Station163_SUR_R1,ARC,GOV2
Station168_DCM_R1,TARA_168,Station168_DCM_R1,ARC,GOV2
Station168_MIX_R1,TARA_168,Station168_IZZ_R1,ARC,GOV2
Station168_SRF_R1,TARA_168,Station168_SUR_R1,ARC,GOV2
Station173_DCM_R1,TARA_173,Station173_DCM_R1,ARC,GOV2
Station173_SRF_R1,TARA_173,Station173_SUR_R1,ARC,GOV2
Station175_MIX_R1,TARA_175,Station175_IZZ_R1,ARC,GOV2
Station175_SRF_R1,TARA_175,Station175_SUR_R1,ARC,GOV2
Station175_ZZZ_R1,TARA_175,Station175_ZZZ_R1,ARC,GOV2
Station178_SRF_R1,TARA_178,Station178_SUR_R1,ARC,GOV2
Station18_DCM_R1,TARA_018,Station18_DCM_R1,TT-EPI,GOV2
Station18_SRF_R1,TARA_018,Station18_SUR_R1,TT-EPI,GOV2
Station180_DCM_R1,TARA_180,Station180_ZZZ_R1,ARC,GOV2
Station180_SRF_R1,TARA_180,Station180_SUR_R1,ARC,GOV2
Station188_DCM_R1,TARA_188,Station188_DCM_R1,ARC,GOV2
Station188_SRF_R1,TARA_188,Station188_SUR_R1,ARC,GOV2
Station189_DCM_R1,TARA_189,Station189_DCM_R1,ARC,GOV2
Station189_MES_R1,TARA_189,Station189_MES_R1,ARC,GOV2
Station189_SRF_R1,TARA_189,Station189_SUR_R1,ARC,GOV2
Station191_SRF_R1,TARA_191,Station191_SUR_R1,ARC,GOV2
Station193_SRF_R1,TARA_193,Station193_SUR_R1,ARC,GOV2
Station194_DCM_R1,TARA_194,Station194_DCM_R1,ARC,GOV2
Station194_SRF_R1,TARA_194,Station194_SUR_R1,ARC,GOV2
Station196_SRF_R1,TARA_196,Station196_SUR_R1,ARC,GOV2
Station201_DCM_R1,TARA_201,Station201_DCM_R1,ARC,GOV2
Station201_MES_R1,TARA_201,Station201_MES_R1,ARC,GOV2
Station201_SRF_R1,TARA_201,Station201_SUR_R1,ARC,GOV2
Station205_MES_R1,TARA_205,Station205_MES_R1,ARC,GOV2
Station205_SRF_R1,TARA_205,Station205_SUR_R1,ARC,GOV2
Station206_MES_R1,TARA_206,Station206_MES_R1,ARC,GOV2
Station206_SRF_R1,TARA_206,Station206_SUR_R1,ARC,GOV2
Station208_SRF_R1,TARA_208,Station208_SUR_R1,ARC,GOV2
Station209_MES_R1,TARA_209,Station209_MES_R1,ARC,GOV2
Station209_SRF_R1,TARA_209,Station209_SUR_R1,ARC,GOV2
Station210_MES_R1,TARA_210,Station210_MES_R1,ARC,GOV2
Station210_SRF_R1,TARA_210,Station210_SUR_R1,ARC,GOV2
Station22_SRF_R1,TARA_022,Station22_SUR_R1,TT-EPI,GOV2
Station23_DCM_R1,TARA_023,Station23_DCM_R1,TT-EPI,GOV2
Station25_DCM_R1,TARA_025,Station25_DCM_R1,TT-EPI,GOV2
Station25_SRF_R1,TARA_025,Station25_SUR_R1,TT-EPI,GOV2
Station30_DCM_R1,TARA_030,Station30_DCM_R1,TT-EPI,GOV2
Station31_SRF_R1,TARA_031,Station31_SUR_R1,TT-EPI,GOV2
Station32_DCM_R1,TARA_032,Station32_DCM_R1,TT-EPI,GOV2
Station32_SRF_R1,TARA_032,Station32_SUR_R1,TT-EPI,GOV2
Station33_SRF_R1,TARA_033,Station33_SUR_R1,TT-EPI,GOV2
Station34_DCM_R1,TARA_034,Station34_DCM_R1,TT-EPI,GOV2
Station34_SRF_R1,TARA_034,Station34_SUR_R1,TT-EPI,GOV2
Station36_DCM_R1,TARA_036,Station36_DCM_R1,TT-EPI,GOV2
Station36_SRF_R1,TARA_036,Station36_SUR_R1,TT-EPI,GOV2
Station37_MES_R1_COMBINED,TARA_037,Station37_MES_R1_COMBINED,TT-MES,GOV2
Station38_DCM_R1,TARA_038,Station38_DCM_R1,TT-EPI,GOV2
Station38_MES_R1,TARA_038,Station38_MES_R1,TT-MES,GOV2
Station38_SRF_R1,TARA_038,Station38_SUR_R1,TT-EPI,GOV2
Station39_DCM_R1,TARA_039,Station39_DCM_R1,TT-EPI,GOV2
Station39_MES_R1_COMBINED,TARA_039,Station39_MES_R1_COMBINED,TT-MES,GOV2
Station39_SRF_R1,TARA_039,Station39_SUR_R1,TT-EPI,GOV2
Station41_DCM_R1,TARA_041,Station41_DCM_R1,TT-EPI,GOV2
Station41_SRF_R1,TARA_041,Station41_SUR_R1,TT-EPI,GOV2
Station42_DCM_R1,TARA_042,Station42_DCM_R1,TT-EPI,GOV2
Station42_SRF_R1,TARA_042,Station42_SUR_R1,TT-EPI,GOV2
Station45_SRF_R1,TARA_045,Station45_SUR_R1,TT-EPI,GOV2
Station46_SRF_R1,TARA_046,Station46_SUR_R1,TT-EPI,GOV2
Station48_SRF_R1,TARA_048,Station48_SUR_R1,TT-EPI,GOV2
Station52_DCM_R1,TARA_052,Station52_DCM_R1,TT-EPI,GOV2
Station52_SRF_R1,TARA_052,Station52_SUR_R1,TT-EPI,GOV2
Station56_MES_R1_COMBINED,TARA_056,Station56_MES_R1_COMBINED,TT-MES,GOV2
Station56_SRF_R1,TARA_056,Station56_SUR_R1,TT-EPI,GOV2
Station58_DCM_R1,TARA_058,Station58_DCM_R1,TT-EPI,GOV2
Station62_SRF_R1,TARA_062,Station62_SUR_R1,TT-EPI,GOV2
Station64_DCM_R1,TARA_064,Station64_DCM_R1,TT-EPI,GOV2
Station64_MES_R1,TARA_064,Station64_MES_R1,TT-MES,GOV2
Station64_SRF_R1,TARA_064,Station64_SUR_R1,TT-EPI,GOV2
Station65_DCM_R1,TARA_065,Station65_DCM_R1,TT-EPI,GOV2
Station65_SRF_R1,TARA_065,Station65_SUR_R1,TT-EPI,GOV2
Station66_DCM_R1,TARA_066,Station66_DCM_R1,TT-EPI,GOV2
Station66_SRF_R1,TARA_066,Station66_SUR_R1,TT-EPI,GOV2
Station67_SRF_R1,TARA_067,Station67_SUR_R1,TT-EPI,GOV2
Station68_DCM_R1,TARA_068,Station68_DCM_R1,TT-EPI,GOV2
Station68_MES_R1_COMBINED,TARA_068,Station68_MES_R1_COMBINED,TT-MES,GOV2
Station68_SRF_R1,TARA_068,Station68_SUR_R1,TT-EPI,GOV2
Station70_MES_R1_COMBINED,TARA_070,Station70_MES_R1_COMBINED,TT-MES,GOV2
Station70_SRF_R1,TARA_070,Station70_SUR_R1,TT-EPI,GOV2
Station72_DCM_R1,TARA_072,Station72_DCM_R1,TT-EPI,GOV2
Station72_MES_R1,TARA_072,Station72_MES_R1,TT-MES,GOV2
Station72_SRF_R1,TARA_072,Station72_SUR_R1,TT-EPI,GOV2
Station76_DCM_R1,TARA_076,Station76_DCM_R1,TT-EPI,GOV2
Station76_MES_R1_COMBINED,TARA_076,Station76_MES_R1_COMBINED,TT-MES,GOV2
Station76_SRF_R1,TARA_076,Station76_SUR_R1,TT-EPI,GOV2
Station78_DCM_R1,TARA_078,Station78_DCM_R1,TT-EPI,GOV2
Station78_MES_R1_COMBINED,TARA_078,Station78_MES_R1_COMBINED,TT-MES,GOV2
Station78_SRF_R1,TARA_078,Station78_SUR_R1,TT-EPI,GOV2
Station82_DCM_R1_COMBINED,TARA_082,Station82_DCM_R1_COMBINED,TT-EPI,GOV2
Station82_SRF_R1_COMBINED,TARA_082,Station82_SUR_R1_COMBINED,TT-EPI,GOV2
Station84_SRF_R1,TARA_084,Station84_SUR_R1,ANT,GOV2
Station85_DCM_R1_COMBINED,TARA_085,Station85_DCM_R1_COMBINED,ANT,GOV2
Station85_MES_R1_COMBINED,TARA_085,Station85_MES_R1_COMBINED,ANT,GOV2
Station85_SRF_R1_COMBINED,TARA_085,Station85_SUR_R1_COMBINED,ANT,GOV2
MSP103,MP1896,7030.1.59052.GGACC_Malaspina_SINGLETONS_R1,BATHY,GOV2
MSP109,MP2015,7036.1.59404.TTCAG_Malaspina_SINGLETONS_R1,BATHY,GOV2
MSP112,MP2052,7153.1.61927.TGTGA_Malaspina_SINGLETONS_R1,BATHY,GOV2
MSP114,MP2097,7151.1.61919.ACAAA_Malaspina_SINGLETONS_R1,BATHY,GOV2
MSP118,MP2159,7154.1.61923.CACCT_Malaspina_SINGLETONS_R1,BATHY,GOV2
MSP121,MP2252,7152.1.61920.GTGGC_Malaspina_SINGLETONS_R1,BATHY,GOV2
MSP131,MP2498,7037.1.59410.ACACG_Malaspina_SINGLETONS_R1,BATHY,GOV2
MSP134,MP2634,7035.1.59396.CACAC_Malaspina_SINGLETONS_R1,BATHY,GOV2
MSP144,MP2914,7034.1.59397.GTGTT_Malaspina_SINGLETONS_R1,BATHY,GOV2
MSP146,MP2968,7058.1.60048.TGTGA_Malaspina_SINGLETONS_R1,BATHY,GOV2
MSP81,MP1482,6982.1.58137.GGACC_Malaspina_SINGLETONS_R1,BATHY,GOV2
MSP82,MP1493,6985.1.58159.TTCAG_Malaspina_SINGLETONS_R1,BATHY,GOV2
MSP91,MP1648,7029.1.59050.AAGGG_Malaspina_SINGLETONS_R1,BATHY,GOV2
MSP97,MP1787,7028.1.59051.CCTTC_Malaspina_SINGLETONS_R1,BATHY,GOV2
BATS,BATS,10_AE1712_C14_N14_19_200m_c_1,c,200m
BATS,BATS,10_AE1712_C14_N14_19_200m_v_1,v,200m
BATS,BATS,11_AE1712_C16_N1_7_80m_c_1,c,80m
BATS,BATS,11_AE1712_C16_N1_7_80m_v_1,v,80m
BATS,BATS,12_AE1712_C16_N8_14_200m_c_1,c,200m
BATS,BATS,12_AE1712_C16_N8_14_200m_v_1,v,200m
BATS,BATS,1_AE1712_C3_N1_7_80m_c_1,c,80m
BATS,BATS,1_AE1712_C3_N1_7_80m_v_1,v,80m
BATS,BATS,2_AE1712_C3_N8_14_200m_c_1,c,200m
BATS,BATS,3_AE1712_C6_N1_7_80m_c_1,c,80m
BATS,BATS,3_AE1712_C6_N1_7_80m_v_1,v,80m
BATS,BATS,4_AE1712_C6_N8_17_200m_c_1,c,200m
BATS,BATS,4_AE1712_C6_N8_17_200m_v_1,v,200m
BATS,BATS,5_AE1712_C8_N7_12_80m_c_1,c,80m
BATS,BATS,5_AE1712_C8_N7_12_80m_v_1,v,80m
BATS,BATS,6_AE1712_C8_N19_24_200m_c_1,c,200m
BATS,BATS,6_AE1712_C8_N19_24_200m_v_1,v,200m
BATS,BATS,7_AE1712_C11_N1_7_80m_c_1,c,80m
BATS,BATS,7_AE1712_C11_N1_7_80m_v_1,v,80m
BATS,BATS,8_AE1712_C11_N8_14_200m_c_1,c,200m
BATS,BATS,8_AE1712_C11_N8_14_200m_v_1,v,200m
BATS,BATS,9_AE1712_C14_N3_8_80m_c_1,c,80m
BATS,BATS,9_AE1712_C14_N3_8_80m_v_1,v,80m
