,10_AE1712_C14_N14_19_200m_c_1,10_AE1712_C14_N14_19_200m_v_1,11_AE1712_C16_N1_7_80m_c_1,11_AE1712_C16_N1_7_80m_v_1,12_AE1712_C16_N8_14_200m_c_1,12_AE1712_C16_N8_14_200m_v_1,1_AE1712_C3_N1_7_80m_c_1,1_AE1712_C3_N1_7_80m_v_1,2_AE1712_C3_N8_14_200m_c_1,3_AE1712_C6_N1_7_80m_c_1,3_AE1712_C6_N1_7_80m_v_1,4_AE1712_C6_N8_17_200m_c_1,4_AE1712_C6_N8_17_200m_v_1,5_AE1712_C8_N7_12_80m_c_1,5_AE1712_C8_N7_12_80m_v_1,6_AE1712_C8_N19_24_200m_c_1,6_AE1712_C8_N19_24_200m_v_1,7_AE1712_C11_N1_7_80m_c_1,7_AE1712_C11_N1_7_80m_v_1,8_AE1712_C11_N8_14_200m_c_1,8_AE1712_C11_N8_14_200m_v_1,9_AE1712_C14_N3_8_80m_c_1,9_AE1712_C14_N3_8_80m_v_1
11_AE1712_C16_N1_7_80m_c_NODE_2_length_48652_cov_320.387277,28327.69918,42568.12561,189064.9243,302297.4531,18214.25807,82445.97616,78708.16217,83822.52857,18593.25913,22987.43993,381445.3691,22353.80433,106756.1404,113651.6949,350006.3413,21605.69909,47328.26942,512716.4039,591014.8355,17212.40877,87399.56592,40855.17506,422557.9217
6_AE1712_C8_N19_24_200m_v_NODE_87_length_59353_cov_1449.401022,658.857397,33526.45181,0,36466.96437,613.4626884,17375.23347,0,10968.34708,586.9605547,125.8162988,52758.75616,510.5672965,130639.9882,0,47468.1296,565.7357136,115040.7973,0,29353.69831,582.2870518,98769.73634,134.7325246,43973.81539
VIRSorter_utg000675l_segment0_LN:i:47211_RC:i:93355_XC:f:1_000000,485.2204085,25447.78242,0,26791.07024,475.989711,13634.15462,0,7669.943744,425.4257513,0,39358.53132,358.9234767,97151.42946,0,35101.95102,411.9350189,85615.83407,0,22652.91772,433.6787249,74669.12169,0,32491.73762
VIRSorter_utg001035l_segment0_LN:i:15831_RC:i:17804_XC:f:1_000000,366.4723972,17682.27116,0,17315.23104,267.5611128,9228.209123,0,6296.008233,303.5504448,0,26008.18528,213.4873174,63289.04444,0,23622.41546,273.0360916,57920.54211,0,14805.74553,280.8770151,50711.52704,0,21617.01303
VIRSorter_utg003456l_segment0_LN:i:16480_RC:i:6978_XC:f:1_000000,369.9234867,25988.40429,0,9681.357394,169.6334115,20176.36713,0,7841.674835,222.445579,0,11567.37539,176.3946304,17090.95583,0,10798.15903,305.8759589,25639.69125,0,9644.39893,312.9768531,19580.06607,0,11140.0219
1_AE1712_C3_N1_7_80m_v_NODE_113_length_58572_cov_24.785640,163.135684,0,4057.720029,2898.114527,0,0,28700.38594,5827.245188,0,20287.91573,16211.25715,0,0,10693.47112,5396.795439,0,0,20490.48233,14494.43441,0,0,27040.17176,12778.21791
VIRSorter_utg000374l_segment0_LN:i:12243_RC:i:7102_XC:f:1_000000,415.2410105,25191.91715,0,9856.032962,246.0094893,20927.77024,0,6001.18063,239.2471098,0,9892.606701,231.8995447,16251.31708,0,11720.26536,415.1520434,25001.22966,0,6300.523446,317.9940833,18929.05769,0,10564.80021
VIRSorter_utg003110l_segment0_LN:i:10926_RC:i:1070_XC:f:1_000000,324.5319448,25315.71631,0,6150.348134,228.921605,49733.17702,0,686.1953649,142.8159987,0,2364.126759,127.8286287,18350.22894,0,2575.718688,297.0114268,26227.03153,0,0,190.1192475,17492.33074,0,2333.698284
VIRSorter_utg000015l_segment0_LN:i:26219_RC:i:14221_XC:f:1_000000,0,223.7174668,0,8090.950494,0,0,0,5130.722352,0,295.3316548,41178.14177,0,0,0,7511.971875,0,0,0,43137.53361,0,0,315.0718457,45503.46136
10_AE1712_C14_N14_19_200m_v_NODE_292_length_35524_cov_137.201907,0,13815.75821,0,7979.996494,0,21841.26558,0,4597.495059,0,0,16449.48751,0,13469.53045,0,14161.82452,0,16363.18359,0,12156.74746,0,15772.39268,0,10103.56881
