,10_AE1712_C14_N14_19_200m_c_1,10_AE1712_C14_N14_19_200m_v_1,11_AE1712_C16_N1_7_80m_c_1,11_AE1712_C16_N1_7_80m_v_1,12_AE1712_C16_N8_14_200m_c_1,12_AE1712_C16_N8_14_200m_v_1,1_AE1712_C3_N1_7_80m_c_1,1_AE1712_C3_N1_7_80m_v_1,2_AE1712_C3_N8_14_200m_c_1,3_AE1712_C6_N1_7_80m_c_1,3_AE1712_C6_N1_7_80m_v_1,4_AE1712_C6_N8_17_200m_c_1,4_AE1712_C6_N8_17_200m_v_1,5_AE1712_C8_N7_12_80m_c_1,5_AE1712_C8_N7_12_80m_v_1,6_AE1712_C8_N19_24_200m_c_1,6_AE1712_C8_N19_24_200m_v_1,7_AE1712_C11_N1_7_80m_c_1,7_AE1712_C11_N1_7_80m_v_1,8_AE1712_C11_N8_14_200m_c_1,8_AE1712_C11_N8_14_200m_v_1,9_AE1712_C14_N3_8_80m_c_1,9_AE1712_C14_N3_8_80m_v_1
10_AE1712_C14_N14_19_200m_c_NODE_153_length_23702_cov_16.526265,25.6688,0,0,0,7.0975,0,0,0,5.4557,0,0,4.6101,0,0,0,10.5431,0,0,0,7.9004,0,0,0
10_AE1712_C14_N14_19_200m_c_NODE_171_length_22661_cov_7.222237,9.5416,0,0,0,10.7667,0,0,0,6.3027,0,0,4.5211,0,0,0,8.3526,0,0,0,7.8054,0,0,0
10_AE1712_C14_N14_19_200m_c_NODE_211_length_20540_cov_11.841470,12.5482,0,0,0,11.2272,0,0,0,5.4625,0,0,4.0987,0,0,0,8.3177,0,0,0,8.2314,0,0,0
10_AE1712_C14_N14_19_200m_c_NODE_248_length_19120_cov_9.589455,14.7526,0,0,0,13.2966,0,0,0,7.4692,7.0342,0,5.3819,0,0,0,9.1478,0,0,0,10.582,0,5.7524,0
10_AE1712_C14_N14_19_200m_c_NODE_331_length_16242_cov_9.636127,8.9283,0,0,0,57.8823,0,0,0,37.1686,0,0,31.7868,0,0,0,34.6933,0,0,0,53.1521,0,0,0
10_AE1712_C14_N14_19_200m_c_NODE_408_length_14633_cov_8.256183,13.01,0,0,0,12.0402,0,0,0,8.5342,7.2386,0,4.5439,0,0,0,9.3306,0,0,0,11.3291,0,5.2344,0
10_AE1712_C14_N14_19_200m_c_NODE_454_length_13696_cov_6.200308,9.8805,0,0,0,17.7801,0,0,0,6.0493,0,0,4.1186,0,0,0,9.1304,0,0,0,8.6166,0,0,0
10_AE1712_C14_N14_19_200m_c_NODE_549_length_12573_cov_6.650368,10.1328,10.1725,0,0,7.0625,4.6117,0,0,2.9801,0,0,3.773,1.4084,0,0,5.3884,4.4917,0,0,7.6594,2.4101,0,0
10_AE1712_C14_N14_19_200m_c_NODE_589_length_12055_cov_7.205460,13.4618,0,0,0,7.1645,0,0,0,8.7872,3.5914,0,5.2144,0,0,0,7.3291,0,0,0,8.0008,0,0,0
10_AE1712_C14_N14_19_200m_c_NODE_634_length_11734_cov_4.609762,4.6174,0,0,0,5.5098,0,0,0,6.4354,0,0,4.079,0,0,0,4.4908,0,0,0,6.8234,0,0,0
10_AE1712_C14_N14_19_200m_c_NODE_675_length_11417_cov_7.423633,10.8949,0,0,0,10.2344,0,0,0,4.9346,6.0733,0,3.0655,0,0,0,8.7654,0,0,0,10.9387,0,5.0101,0
10_AE1712_C14_N14_19_200m_c_NODE_705_length_11084_cov_7.051967,10.6861,0,0,0,10.037,0,0,0,5.397,4.5129,0,4.3058,0,0,0,8.0779,0,0,0,6.6333,0,3.9085,0
10_AE1712_C14_N14_19_200m_c_NODE_751_length_10707_cov_6.530762,10.1287,0,0,0,6.3078,0,0,0,4.7016,1.9218,0,2.2406,0,0,0,4.1394,0,0,0,7.4889,0,0,0
10_AE1712_C14_N14_19_200m_c_NODE_821_length_10114_cov_10.913420,11.6948,16.866,0,0,4.057,2.4162,0,0,3.1803,0,0,3.0196,0,0,0,3.2457,4.5576,0,0,3.4315,2.5276,0,0
11_AE1712_C16_N1_7_80m_c_NODE_2_length_48652_cov_320.387277,612.342,643.1338,601.103,608.6583,643.4971,617.1828,669.04,482.9331,622.5923,688.6421,533.0192,700.035,548.1326,490.3022,582.3024,609.814,550.3901,593.3508,548.8477,626.785,593.1951,626.1735,497.1039
11_AE1712_C16_N1_7_80m_c_NODE_5_length_28197_cov_43.335775,0,0,52.9979,53.5569,0,0,0,0,0,69.0922,1.918,0,0,30.4349,10.8905,0,0,0,0,0,0,16.2918,0
12_AE1712_C16_N8_14_200m_c_NODE_140_length_42613_cov_10.241913,8.9918,21.4093,0,2.0869,15.95,6.9988,0,2.9297,7.7702,3.2648,0,4.3381,3.3702,0,0,9.4761,11.8203,0,0,8.1794,2.3407,0,0
12_AE1712_C16_N8_14_200m_c_NODE_186_length_37288_cov_11.288033,11.295,0,0,0,17.7263,0,0,0,8.3978,0,0,6.5275,0,0,0,11.8639,0,0,0,13.1366,0,0,0
12_AE1712_C16_N8_14_200m_c_NODE_209_length_35600_cov_15.709484,21.8422,0,0,0,24.2472,0,0,0,11.6948,4.942,0,8.2094,0,0,0,17.1251,0,0,0,13.928,0,4.1705,0
