Contig	100_DCM	100_SRF	100_dDCM	102_DCM	102_MES	102_SRF	109_DCM	109_SRF	10_AE1712_C14_N14_19_200m_v	111_DCM	111_MES	111_SRF	11_SRF	122_DCM	122_MES	122_SRF	123_MIX	123_SRF	124_MIX	124_SRF	125_MIX	125_SRF	12_AE1712_C16_N8_14_200m_v	137_DCM	137_MES	137_SRF	138_DCM	138_MES	138_SRF	155_DCM	155_MES	155_SRF	158_DCM	158_MES	158_SRF	163_MES	163_SRF	168_DCM	168_MIX	168_SRF	173_DCM	173_SRF	175_MIX	175_SRF	175_ZZZ	178_SRF	180_DCM	180_SRF	188_DCM	188_SRF	189_DCM	189_MES	189_SRF	18_DCM	18_SRF	191_SRF	193_SRF	194_DCM	194_SRF	196_SRF	201_DCM	201_MES	201_SRF	205_MES	205_SRF	206_MES	206_SRF	208_SRF	209_MES	209_SRF	210_MES	210_SRF	22_SRF	23_DCM	25_DCM	25_SRF	30_DCM	31_SRF	32_DCM	32_SRF	33_SRF	34_DCM	34_SRF	36_DCM	36_SRF	37_MES	38_DCM	38_MES	38_SRF	39_DCM	39_MES	39_SRF	41_DCM	41_SRF	42_DCM	42_SRF	45_SRF	46_SRF	48_SRF	4_AE1712_C6_N8_14_200m_v	52_DCM	52_SRF	56_MES	56_SRF	58_DCM	62_SRF	64_DCM	64_MES	64_SRF	65_DCM	65_SRF	66_DCM	66_SRF	67_SRF	68_DCM	68_MES	68_SRF	6_AE1712_C8_N19_24_200m_v	70_MES	70_SRF	72_DCM	72_MES	72_SRF	76_DCM	76_MES	76_SRF	78_DCM	78_MES	78_SRF	82_DCM	82_SRF	84_SRF	85_DCM	85_MES	85_SRF	8_AE1712_C11_N8_14_200m_v	AE1712_80m_viral-combined
10_AE1712_C14_N14_19_200m_c_NODE_153_length_23702_cov_16.526265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_AE1712_C14_N14_19_200m_c_NODE_171_length_22661_cov_7.222237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_AE1712_C14_N14_19_200m_c_NODE_211_length_20540_cov_11.841470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_AE1712_C14_N14_19_200m_c_NODE_248_length_19120_cov_9.589455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_AE1712_C14_N14_19_200m_c_NODE_331_length_16242_cov_9.636127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_AE1712_C14_N14_19_200m_c_NODE_408_length_14633_cov_8.256183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_AE1712_C14_N14_19_200m_c_NODE_454_length_13696_cov_6.200308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_AE1712_C14_N14_19_200m_c_NODE_549_length_12573_cov_6.650368	0	0	0	0	0	0	0	0	3.4464717	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0381002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6247205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9954387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9271085	0
10_AE1712_C14_N14_19_200m_c_NODE_589_length_12055_cov_7.205460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10_AE1712_C14_N14_19_200m_c_NODE_634_length_11734_cov_4.609762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
