contig	length	type
10_AE1712_C14_N14_19_200m_c_NODE_153_length_23702_cov_16.526265	23702	s
10_AE1712_C14_N14_19_200m_c_NODE_171_length_22661_cov_7.222237	22661	s
10_AE1712_C14_N14_19_200m_c_NODE_211_length_20540_cov_11.841470	20540	s
10_AE1712_C14_N14_19_200m_c_NODE_248_length_19120_cov_9.589455	19120	s
10_AE1712_C14_N14_19_200m_c_NODE_331_length_16242_cov_9.636127	16242	s
10_AE1712_C14_N14_19_200m_c_NODE_408_length_14633_cov_8.256183	14633	s
10_AE1712_C14_N14_19_200m_c_NODE_454_length_13696_cov_6.200308	13696	s
10_AE1712_C14_N14_19_200m_c_NODE_549_length_12573_cov_6.650368	12573	s
10_AE1712_C14_N14_19_200m_c_NODE_589_length_12055_cov_7.205460	12055	s
10_AE1712_C14_N14_19_200m_c_NODE_634_length_11734_cov_4.609762	11734	s
10_AE1712_C14_N14_19_200m_c_NODE_675_length_11417_cov_7.423633	11417	s
10_AE1712_C14_N14_19_200m_c_NODE_705_length_11084_cov_7.051967	11084	s
10_AE1712_C14_N14_19_200m_c_NODE_751_length_10707_cov_6.530762	10707	s
10_AE1712_C14_N14_19_200m_c_NODE_821_length_10114_cov_10.913420	10114	s
11_AE1712_C16_N1_7_80m_c_NODE_2_length_48652_cov_320.387277	48652	s
12_AE1712_C16_N8_14_200m_c_NODE_140_length_42613_cov_10.241913	42613	s
12_AE1712_C16_N8_14_200m_c_NODE_186_length_37288_cov_11.288033	37288	s
12_AE1712_C16_N8_14_200m_c_NODE_209_length_35600_cov_15.709484	35600	s
12_AE1712_C16_N8_14_200m_c_NODE_389_length_26652_cov_9.157705	26652	s
12_AE1712_C16_N8_14_200m_c_NODE_416_length_25596_cov_13.438693	25596	s
12_AE1712_C16_N8_14_200m_c_NODE_490_length_22806_cov_8.829601	22806	s
12_AE1712_C16_N8_14_200m_c_NODE_721_length_18012_cov_10.805353	18012	s
12_AE1712_C16_N8_14_200m_c_NODE_800_length_17091_cov_11.815093	17091	s
12_AE1712_C16_N8_14_200m_c_NODE_897_length_16078_cov_12.878820	16078	s
12_AE1712_C16_N8_14_200m_c_NODE_1066_length_14408_cov_11.841602	14408	s
12_AE1712_C16_N8_14_200m_c_NODE_1093_length_14263_cov_10.344777	14263	s
12_AE1712_C16_N8_14_200m_c_NODE_1207_length_13437_cov_8.138249	13437	s
12_AE1712_C16_N8_14_200m_c_NODE_1367_length_12551_cov_8.787077	12551	s
12_AE1712_C16_N8_14_200m_c_NODE_1380_length_12499_cov_7.644904	12499	s
12_AE1712_C16_N8_14_200m_c_NODE_1481_length_11949_cov_7.269794	11949	s
12_AE1712_C16_N8_14_200m_c_NODE_1587_length_11478_cov_10.894746	11478	s
12_AE1712_C16_N8_14_200m_c_NODE_1597_length_11452_cov_7.843604	11452	s
12_AE1712_C16_N8_14_200m_c_NODE_1640_length_11271_cov_11.636412	11271	s
12_AE1712_C16_N8_14_200m_c_NODE_1689_length_11012_cov_11.297851	11012	s
12_AE1712_C16_N8_14_200m_c_NODE_1692_length_11009_cov_8.087907	11009	s
12_AE1712_C16_N8_14_200m_c_NODE_1883_length_10366_cov_7.723880	10366	s
12_AE1712_C16_N8_14_200m_c_NODE_1901_length_10301_cov_7.388498	10301	s
1_AE1712_C3_N1_7_80m_c_NODE_1_length_68096_cov_84.296961	68096	s
2_AE1712_C3_N8_14_200m_c_NODE_92_length_45344_cov_30.493185	45344	s
2_AE1712_C3_N8_14_200m_c_NODE_758_length_16221_cov_7.566836	16221	s
2_AE1712_C3_N8_14_200m_c_NODE_1071_length_13409_cov_8.661191	13409	s
2_AE1712_C3_N8_14_200m_c_NODE_1454_length_11155_cov_7.723957	11155	s
2_AE1712_C3_N8_14_200m_c_NODE_1548_length_10773_cov_7.837416	10773	s
2_AE1712_C3_N8_14_200m_c_NODE_1570_length_10710_cov_4.732719	10710	s
2_AE1712_C3_N8_14_200m_c_NODE_1616_length_10512_cov_7.541543	10512	s
3_AE1712_C6_N1_7_80m_c_NODE_19_length_41768_cov_15.297978	41768	s
3_AE1712_C6_N1_7_80m_c_NODE_25_length_36430_cov_13.631062	36430	s
3_AE1712_C6_N1_7_80m_c_NODE_99_length_21711_cov_24.897476	21711	s
3_AE1712_C6_N1_7_80m_c_NODE_122_length_20198_cov_15.335620	20198	s
3_AE1712_C6_N1_7_80m_c_NODE_180_length_16944_cov_17.099247	16944	s
3_AE1712_C6_N1_7_80m_c_NODE_237_length_15031_cov_8.880634	15031	s
3_AE1712_C6_N1_7_80m_c_NODE_269_length_14152_cov_34.314956	14152	s
3_AE1712_C6_N1_7_80m_c_NODE_320_length_13165_cov_17.017726	13165	s
3_AE1712_C6_N1_7_80m_c_NODE_326_length_12952_cov_7.795495	12952	s
3_AE1712_C6_N1_7_80m_c_NODE_338_length_12710_cov_18.722869	12710	s
3_AE1712_C6_N1_7_80m_c_NODE_381_length_11960_cov_7.038122	11960	s
3_AE1712_C6_N1_7_80m_c_NODE_396_length_11764_cov_13.912724	11764	s
3_AE1712_C6_N1_7_80m_c_NODE_401_length_11720_cov_32.667783	11720	s
3_AE1712_C6_N1_7_80m_c_NODE_406_length_11684_cov_7.217197	11684	s
3_AE1712_C6_N1_7_80m_c_NODE_430_length_11386_cov_36.935980	11386	s
3_AE1712_C6_N1_7_80m_c_NODE_436_length_11333_cov_7.349680	11333	s
3_AE1712_C6_N1_7_80m_c_NODE_444_length_11259_cov_7.275532	11259	s
3_AE1712_C6_N1_7_80m_c_NODE_497_length_10635_cov_9.454158	10635	s
3_AE1712_C6_N1_7_80m_c_NODE_500_length_10594_cov_7.508320	10594	s
3_AE1712_C6_N1_7_80m_c_NODE_502_length_10556_cov_11.285142	10556	s
3_AE1712_C6_N1_7_80m_c_NODE_507_length_10512_cov_10.549209	10512	s
3_AE1712_C6_N1_7_80m_c_NODE_521_length_10339_cov_7.326447	10339	s
3_AE1712_C6_N1_7_80m_c_NODE_530_length_10267_cov_8.749362	10267	s
3_AE1712_C6_N1_7_80m_c_NODE_1552_length_6041_cov_19.246814	6041	s
3_AE1712_C6_N1_7_80m_c_NODE_18754_length_1952_cov_2.841067	1952	s
5_AE1712_C8_N7_12_80m_c_NODE_27_length_13982_cov_8.628623	13982	s
6_AE1712_C8_N19_24_200m_c_NODE_167_length_26786_cov_10.060616	26786	s
6_AE1712_C8_N19_24_200m_c_NODE_173_length_26315_cov_12.176462	26315	s
6_AE1712_C8_N19_24_200m_c_NODE_232_length_22590_cov_41.400657	22590	s
6_AE1712_C8_N19_24_200m_c_NODE_239_length_21911_cov_9.758679	21911	s
6_AE1712_C8_N19_24_200m_c_NODE_280_length_19926_cov_8.511109	19926	s
6_AE1712_C8_N19_24_200m_c_NODE_288_length_19177_cov_11.306754	19177	s
6_AE1712_C8_N19_24_200m_c_NODE_337_length_17577_cov_10.005886	17577	s
6_AE1712_C8_N19_24_200m_c_NODE_412_length_15329_cov_6.633687	15329	s
6_AE1712_C8_N19_24_200m_c_NODE_571_length_12589_cov_6.160246	12589	s
6_AE1712_C8_N19_24_200m_c_NODE_612_length_12089_cov_5.194139	12089	s
6_AE1712_C8_N19_24_200m_c_NODE_819_length_10335_cov_8.289628	10335	s
6_AE1712_C8_N19_24_200m_c_NODE_836_length_10134_cov_5.096947	10134	s
6_AE1712_C8_N19_24_200m_c_NODE_852_length_10040_cov_7.483890	10040	s
6_AE1712_C8_N19_24_200m_c_NODE_855_length_10028_cov_6.238368	10028	s
8_AE1712_C11_N8_14_200m_c_NODE_37_length_63705_cov_23.012620	63705	s
8_AE1712_C11_N8_14_200m_c_NODE_61_length_50817_cov_48.137505	50817	s
8_AE1712_C11_N8_14_200m_c_NODE_99_length_39374_cov_19.402575	39374	s
8_AE1712_C11_N8_14_200m_c_NODE_252_length_23349_cov_9.326358	23349	s
8_AE1712_C11_N8_14_200m_c_NODE_260_length_22961_cov_18.324331	22961	s
8_AE1712_C11_N8_14_200m_c_NODE_534_length_16245_cov_6.637865	16245	s
8_AE1712_C11_N8_14_200m_c_NODE_632_length_14653_cov_6.940862	14653	s
8_AE1712_C11_N8_14_200m_c_NODE_797_length_13133_cov_7.301930	13133	s
8_AE1712_C11_N8_14_200m_c_NODE_854_length_12725_cov_8.721300	12725	s
8_AE1712_C11_N8_14_200m_c_NODE_913_length_12243_cov_5.179352	12243	s
8_AE1712_C11_N8_14_200m_c_NODE_920_length_12188_cov_6.520271	12188	s
8_AE1712_C11_N8_14_200m_c_NODE_989_length_11741_cov_12.775206	11741	s
8_AE1712_C11_N8_14_200m_c_NODE_1029_length_11435_cov_8.309297	11435	s
8_AE1712_C11_N8_14_200m_c_NODE_1177_length_10621_cov_7.272477	10621	s
8_AE1712_C11_N8_14_200m_c_NODE_1251_length_10310_cov_9.577739	10310	s
9_AE1712_C14_N3_8_80m_c_NODE_11_length_36452_cov_489.230296	36452	s
