target_id	start	end	breakage_length	target_length
VIRSorter_utg000003l_segment0_LN:i:62365_RC:i:3705_XC:f:1_000000	0	6	7	62365
VIRSorter_utg000003l_segment0_LN:i:62365_RC:i:3705_XC:f:1_000000	13330	13515	186	62365
VIRSorter_utg000003l_segment0_LN:i:62365_RC:i:3705_XC:f:1_000000	24673	24678	6	62365
VIRSorter_utg000003l_segment0_LN:i:62365_RC:i:3705_XC:f:1_000000	39183	39258	76	62365
VIRSorter_utg000003l_segment0_LN:i:62365_RC:i:3705_XC:f:1_000000	62040	62364	325	62365
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	0	791	792	137001
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	1637	4428	2792	137001
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	9634	9646	13	137001
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	10793	11463	671	137001
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	14901	21325	6425	137001
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	22661	32614	9954	137001
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	33610	47250	13641	137001
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	48524	56319	7796	137001
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	57404	105649	48246	137001
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	107160	107177	18	137001
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	108162	119846	11685	137001
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	120904	133678	12775	137001
VIRSorter_utg000004l_segment0_LN:i:137001_RC:i:2374_XC:f:0_883636	135266	137000	1735	137001
VIRSorter_utg000007l_segment0_LN:i:3333025_RC:i:1176860_XC:f:0_999850	0	3	4	3333025
VIRSorter_utg000007l_segment0_LN:i:3333025_RC:i:1176860_XC:f:0_999850	14246	14272	27	3333025
VIRSorter_utg000007l_segment0_LN:i:3333025_RC:i:1176860_XC:f:0_999850	903367	908081	4715	3333025
VIRSorter_utg000007l_segment0_LN:i:3333025_RC:i:1176860_XC:f:0_999850	1224368	1224854	487	3333025
VIRSorter_utg000007l_segment0_LN:i:3333025_RC:i:1176860_XC:f:0_999850	1226567	1226571	5	3333025
VIRSorter_utg000007l_segment0_LN:i:3333025_RC:i:1176860_XC:f:0_999850	1227952	1227981	30	3333025
VIRSorter_utg000007l_segment0_LN:i:3333025_RC:i:1176860_XC:f:0_999850	1771055	1771126	72	3333025
VIRSorter_utg000007l_segment0_LN:i:3333025_RC:i:1176860_XC:f:0_999850	1994736	1995270	535	3333025
VIRSorter_utg000007l_segment0_LN:i:3333025_RC:i:1176860_XC:f:0_999850	2662907	2662921	15	3333025
VIRSorter_utg000007l_segment0_LN:i:3333025_RC:i:1176860_XC:f:0_999850	2723866	2724204	339	3333025
VIRSorter_utg000007l_segment0_LN:i:3333025_RC:i:1176860_XC:f:0_999850	3332972	3333024	53	3333025
VIRSorter_utg000009l_segment0_LN:i:201339_RC:i:24383_XC:f:0_990074	0	13	14	201339
VIRSorter_utg000009l_segment0_LN:i:201339_RC:i:24383_XC:f:0_990074	52743	52744	2	201339
VIRSorter_utg000009l_segment0_LN:i:201339_RC:i:24383_XC:f:0_990074	201327	201338	12	201339
VIRSorter_utg000012c_segment0_LN:i:58120_RC:i:15097_XC:f:0_974359	0	15	16	58120
VIRSorter_utg000012c_segment0_LN:i:58120_RC:i:15097_XC:f:0_974359	15799	15801	3	58120
VIRSorter_utg000012c_segment0_LN:i:58120_RC:i:15097_XC:f:0_974359	58111	58119	9	58120
VIRSorter_utg000015l_segment0_LN:i:26219_RC:i:14221_XC:f:1_000000	0	3	4	26219
VIRSorter_utg000015l_segment0_LN:i:26219_RC:i:14221_XC:f:1_000000	26200	26218	19	26219
VIRSorter_utg000016l_segment0_LN:i:22114_RC:i:5820_XC:f:0_977778	0	3218	3219	22114
VIRSorter_utg000016l_segment0_LN:i:22114_RC:i:5820_XC:f:0_977778	22081	22113	33	22114
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	0	19	20	104588
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	2014	15429	13416	104588
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	16638	50126	33489	104588
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	51963	55898	3936	104588
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	59011	59996	986	104588
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	62770	64119	1350	104588
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	65028	66270	1243	104588
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	68099	71553	3455	104588
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	73726	81428	7703	104588
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	82644	84930	2287	104588
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	86499	90632	4134	104588
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	91443	97281	5839	104588
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	99270	99632	363	104588
VIRSorter_utg000017l_segment0_LN:i:104588_RC:i:5622_XC:f:0_995238	102137	104587	2451	104588
VIRSorter_utg000019l_segment0_LN:i:14637_RC:i:1018_XC:f:1_000000	0	1720	1721	14637
VIRSorter_utg000019l_segment0_LN:i:14637_RC:i:1018_XC:f:1_000000	2974	3624	651	14637
VIRSorter_utg000019l_segment0_LN:i:14637_RC:i:1018_XC:f:1_000000	4702	5351	650	14637
VIRSorter_utg000019l_segment0_LN:i:14637_RC:i:1018_XC:f:1_000000	11286	12294	1009	14637
VIRSorter_utg000019l_segment0_LN:i:14637_RC:i:1018_XC:f:1_000000	14614	14636	23	14637
VIRSorter_utg000020l_segment0_LN:i:163209_RC:i:21964_XC:f:0_993884	103656	103657	2	163209
VIRSorter_utg000020l_segment0_LN:i:163209_RC:i:21964_XC:f:0_993884	108150	110309	2160	163209
VIRSorter_utg000020l_segment0_LN:i:163209_RC:i:21964_XC:f:0_993884	163201	163208	8	163209
VIRSorter_utg000024l_segment0_LN:i:91025_RC:i:11815_XC:f:0_994536	0	634	635	91025
VIRSorter_utg000024l_segment0_LN:i:91025_RC:i:11815_XC:f:0_994536	91011	91024	14	91025
VIRSorter_utg000025l_segment0_LN:i:57515_RC:i:71522_XC:f:0_991379	0	105	106	57515
VIRSorter_utg000025l_segment0_LN:i:57515_RC:i:71522_XC:f:0_991379	31389	31409	21	57515
VIRSorter_utg000025l_segment0_LN:i:57515_RC:i:71522_XC:f:0_991379	40959	43692	2734	57515
VIRSorter_utg000025l_segment0_LN:i:57515_RC:i:71522_XC:f:0_991379	57505	57514	10	57515
VIRSorter_utg000026l_segment0_LN:i:45836_RC:i:2800_XC:f:0_967391	0	1353	1354	45836
VIRSorter_utg000026l_segment0_LN:i:45836_RC:i:2800_XC:f:0_967391	2380	2395	16	45836
VIRSorter_utg000026l_segment0_LN:i:45836_RC:i:2800_XC:f:0_967391	15544	17654	2111	45836
VIRSorter_utg000026l_segment0_LN:i:45836_RC:i:2800_XC:f:0_967391	21591	22161	571	45836
VIRSorter_utg000026l_segment0_LN:i:45836_RC:i:2800_XC:f:0_967391	45831	45835	5	45836
VIRSorter_utg000027l_segment0_LN:i:10612_RC:i:475_XC:f:0_909091	0	15	16	10612
VIRSorter_utg000027l_segment0_LN:i:10612_RC:i:475_XC:f:0_909091	3810	8266	4457	10612
VIRSorter_utg000027l_segment0_LN:i:10612_RC:i:475_XC:f:0_909091	9400	10611	1212	10612
VIRSorter_utg000028l_segment0_LN:i:54036_RC:i:8264_XC:f:0_990826	0	30	31	54036
VIRSorter_utg000028l_segment0_LN:i:54036_RC:i:8264_XC:f:0_990826	54019	54035	17	54036
VIRSorter_utg000036l_segment0_LN:i:41487_RC:i:5755_XC:f:1_000000	0	23	24	41487
VIRSorter_utg000036l_segment0_LN:i:41487_RC:i:5755_XC:f:1_000000	39173	39897	725	41487
VIRSorter_utg000036l_segment0_LN:i:41487_RC:i:5755_XC:f:1_000000	41256	41486	231	41487
VIRSorter_utg000041l_segment0_LN:i:24720_RC:i:7307_XC:f:1_000000	0	8	9	24720
VIRSorter_utg000041l_segment0_LN:i:24720_RC:i:7307_XC:f:1_000000	24717	24719	3	24720
